,title,subtitle,productType,productSubType,color,url,imageUrl,currentPrice,discountPercentage,initialPrice
2808,Nike Phantom Luna 2 Elite By You,Custom FG High-Top Soccer Cleats,FOOTWEAR,,Blue,https://www.nike.com/u/custom-phantom-luna-2-elite-by-you-10001758/2834615820,,305,0,305
2809,Nike Phantom Luna 2 Elite By You,Custom FG High-Top Soccer Cleats,FOOTWEAR,,White,https://www.nike.com/u/custom-phantom-luna-2-elite-by-you-10001758/4357260120,,305,0,305
2810,Nike Phantom Luna 2 Elite By You,Custom FG High-Top Soccer Cleats,FOOTWEAR,,White,https://www.nike.com/u/custom-phantom-luna-2-elite-by-you-10001758/5082830351,,305,0,305
2811,Nike Phantom Luna 2 Elite By You,Custom FG High-Top Soccer Cleats,FOOTWEAR,,Black,https://www.nike.com/u/custom-phantom-luna-2-elite-by-you-10001758/5552858727,,305,0,305
2812,Nike Phantom Luna 2 Elite By You,Custom FG High-Top Soccer Cleats,FOOTWEAR,,Yellow,https://www.nike.com/u/custom-phantom-luna-2-elite-by-you-10001758/5765077112,,305,0,305
2813,Nike Phantom Luna 2 Elite By You,Custom FG High-Top Soccer Cleats,FOOTWEAR,,Red,https://www.nike.com/u/custom-phantom-luna-2-elite-by-you-10001758/8777413058,,305,0,305
2814,Nike Phantom Luna 2 Elite By You,Custom FG High-Top Soccer Cleats,FOOTWEAR,,Blue,https://www.nike.com/u/custom-phantom-luna-2-elite-by-you-10001758/9192706282,,305,0,305
2815,Nike Phantom Luna 2 Elite By You,Custom FG High-Top Soccer Cleats,FOOTWEAR,,Pink,https://www.nike.com/u/custom-phantom-luna-2-elite-by-you-10001758/9946860498,,305,0,305
2816,Nike Free RN By You,Custom Men's Road Running Shoes,FOOTWEAR,,White,https://www.nike.com/u/custom-nike-free-rn-by-you-10001731/2913789077,,130,0,130
2817,Nike Free RN By You,Custom Men's Road Running Shoes,FOOTWEAR,,White,https://www.nike.com/u/custom-nike-free-rn-by-you-10001731/3056644739,,130,0,130
2818,Nike Free RN By You,Custom Men's Road Running Shoes,FOOTWEAR,,Pink,https://www.nike.com/u/custom-nike-free-rn-by-you-10001731/3065382787,,130,0,130
2819,Nike Free RN By You,Custom Men's Road Running Shoes,FOOTWEAR,,Black,https://www.nike.com/u/custom-nike-free-rn-by-you-10001731/3622710272,,130,0,130
2820,Nike Free RN By You,Custom Men's Road Running Shoes,FOOTWEAR,,Blue,https://www.nike.com/u/custom-nike-free-rn-by-you-10001731/4072862857,,130,0,130
2821,Nike Free RN By You,Custom Men's Road Running Shoes,FOOTWEAR,,Red,https://www.nike.com/u/custom-nike-free-rn-by-you-10001731/4207083542,,130,0,130
2822,Nike Air Max 90 By You,Custom Men's Shoes,FOOTWEAR,,Pink,https://www.nike.com/u/custom-air-max-90-shoes-by-you-10001670/2959965677,,150,0,150
